Country,"GDP(nominal,2022)"
United States,"$25,462,700,000,000 "
China,"$17,963,200,000,000 "
Japan,"$4,231,140,000,000 "
Germany,"$4,072,190,000,000 "
India,"$3,385,090,000,000 "
United Kingdom,"$3,070,670,000,000 "
France,"$2,782,910,000,000 "
Russia,"$2,240,420,000,000 "
Canada,"$2,139,840,000,000 "
Italy,"$2,010,430,000,000 "
Brazil,"$1,920,100,000,000 "
Australia,"$1,675,420,000,000 "
South Korea,"$1,665,250,000,000 "
Mexico,"$1,414,190,000,000 "
Spain,"$1,397,510,000,000 "
Indonesia,"$1,319,100,000,000 "
Saudi Arabia,"$1,108,150,000,000 "
Netherlands,"$991,115,000,000 "
Turkey,"$905,988,000,000 "
Switzerland,"$807,706,000,000 "
Poland,"$688,177,000,000 "
Argentina,"$632,770,000,000 "
Sweden,"$585,939,000,000 "
Norway,"$579,267,000,000 "
Belgium,"$578,604,000,000 "
Ireland,"$529,245,000,000 "
Israel,"$522,033,000,000 "
United Arab Emirates,"$507,535,000,000 "
Thailand,"$495,341,000,000 "
Nigeria,"$477,386,000,000 "
Egypt,"$476,748,000,000 "
Austria,"$471,400,000,000 "
Singapore,"$466,789,000,000 "
Bangladesh,"$460,201,000,000 "
Vietnam,"$408,802,000,000 "
Malaysia,"$406,306,000,000 "
South Africa,"$405,870,000,000 "
Philippines,"$404,284,000,000 "
Denmark,"$395,404,000,000 "
Iran,"$388,544,000,000 "
Pakistan,"$376,533,000,000 "
Hong Kong,"$359,839,000,000 "
Colombia,"$343,939,000,000 "
Romania,"$301,262,000,000 "
Chile,"$301,025,000,000 "
Czech Republic (Czechia),"$290,924,000,000 "
Finland,"$280,826,000,000 "
Iraq,"$264,182,000,000 "
Portugal,"$251,945,000,000 "
New Zealand,"$247,234,000,000 "
Peru,"$242,632,000,000 "
Qatar,"$237,296,000,000 "
Kazakhstan,"$220,623,000,000 "
Greece,"$219,066,000,000 "
Algeria,"$191,913,000,000 "
Kuwait,"$184,558,000,000 "
Hungary,"$178,789,000,000 "
Ukraine,"$160,503,000,000 "
Morocco,"$134,182,000,000 "
Ethiopia,"$126,783,000,000 "
Slovakia,"$115,469,000,000 "
Ecuador,"$115,049,000,000 "
Oman,"$114,667,000,000 "
Dominican Republic,"$113,642,000,000 "
Kenya,"$113,420,000,000 "
Angola,"$106,714,000,000 "
Guatemala,"$95,003,333,381 "
Bulgaria,"$89,040,398,406 "
Luxembourg,"$82,274,812,251 "
Uzbekistan,"$80,391,853,885 "
Azerbaijan,"$78,721,058,824 "
Panama,"$76,522,511,781 "
Tanzania,"$75,709,289,056 "
Sri Lanka,"$74,403,578,363 "
Ghana,"$72,838,798,788 "
Belarus,"$72,793,457,588 "
Uruguay,"$71,177,146,197 "
Croatia,"$70,964,606,465 "
Lithuania,"$70,334,299,008 "
Côte d'Ivoire,"$70,018,715,017 "
Costa Rica,"$68,380,838,316 "
Serbia,"$63,501,748,652 "
Slovenia,"$62,117,768,015 "
Myanmar,"$59,364,362,541 "
DR Congo,"$58,065,953,573 "
Sudan,"$51,662,241,775 "
Jordan,"$47,451,499,859 "
Tunisia,"$46,664,948,952 "
Libya,"$45,752,336,036 "
Uganda,"$45,559,202,049 "
Bahrain,"$44,390,820,479 "
Cameroon,"$44,341,646,509 "
Bolivia,"$43,068,885,673 "
Paraguay,"$41,722,295,362 "
Latvia,"$41,153,912,663 "
Nepal,"$40,828,247,302 "
Estonia,"$38,100,812,959 "
El Salvador,"$32,488,720,000 "
Honduras,"$31,717,700,115 "
Papua New Guinea,"$30,633,444,295 "
Cambodia,"$29,956,769,529 "
Zambia,"$29,784,454,056 "
Cyprus,"$28,439,052,741 "
Trinidad and Tobago,"$27,899,082,337 "
Iceland,"$27,841,648,044 "
Senegal,"$27,684,430,244 "
Georgia,"$24,605,375,420 "
Bosnia and Herzegovina,"$24,527,507,288 "
Macao,"$21,979,475,561 "
Guinea,"$21,227,749,389 "
Gabon,"$21,071,739,228 "
Zimbabwe,"$20,678,055,598 "
Botswana,"$20,352,322,157 "
Haiti,"$20,253,551,885 "
Armenia,"$19,502,783,988 "
State of Palestine,"$19,111,900,000 "
Burkina Faso,"$18,884,619,613 "
Albania,"$18,882,095,518 "
Mali,"$18,827,176,532 "
Mozambique,"$17,851,491,428 "
Malta,"$17,765,270,015 "
Benin,"$17,401,746,309 "
Jamaica,"$17,097,760,745 "
Mongolia,"$16,810,883,361 "
Brunei ,"$16,681,531,646 "
Laos,"$15,724,383,783 "
Nicaragua,"$15,671,583,878 "
Guyana,"$15,357,537,068 "
Madagascar,"$14,954,967,604 "
Congo,"$14,615,532,210 "
Moldova,"$14,420,947,884 "
Niger,"$13,969,605,583 "
North Macedonia,"$13,563,132,057 "
